pathway	your_input	Souris_tax_id(10090)	entrez(10090)	gene_symbol(10090)	title(10090)	location(10090)	chrom(10090)	status(10090)	type(10090)	aliases(10090)	database(10090)	humain_tax_id(9606)	entrez(9606)	gene_symbol(9606)	title(9606)	location(9606)	chrom(9606)	status(9606)	type(9606)	aliases(9606)	database(9606)
AminoAcids	Asl	10090	109900	Asl	argininosuccinate lyase	5 G1.3|5 68.37 cM	5	active	protein-coding	[ASAL, 88084, OTTMUSG00000033763, MGI:88084, ENSMUSG00000025533, 2510006M18Rik]	EpiMed GENSYM	9606	435	ASL	argininosuccinate lyase	7q11.21	7	active	protein-coding	[P04424, ASAL, NM_000048, uc003tuo.4, OTTHUMG00000022876, HGNC:746, CCDS5531, RGD:619974, ASLD, CCDS47597, MGI:88084, 746, ASL, CCDS47598, ENSG00000126522, MIM:608310]	NCBI GENE
mtUPR	Asns	10090	27053	Asns	asparagine synthetase	6 A1|6 3.31 cM	6	active	protein-coding	[MGI:1350929, ENSMUSG00000029752, 1350929, OTTMUSG00000022779]	EpiMed GENSYM	9606	440	ASNS	asparagine synthetase (glutamine-hydrolyzing)	7q21.3	7	active	protein-coding	[M27396, CCDS55132, CCDS55131, MIM:108370, NM_183356, CCDS5652, ASNS, NM_001673, uc003uou.5, RGD:2162, MGI:1350929, 753, ASNSD, TS11, HGNC:753, P08243, OTTHUMG00000022892, ENSG00000070669]	NCBI GENE
AminoAcids	Asns	10090	27053	Asns	asparagine synthetase	6 A1|6 3.31 cM	6	active	protein-coding	[MGI:1350929, ENSMUSG00000029752, 1350929, OTTMUSG00000022779]	EpiMed GENSYM	9606	440	ASNS	asparagine synthetase (glutamine-hydrolyzing)	7q21.3	7	active	protein-coding	[M27396, CCDS55132, CCDS55131, MIM:108370, NM_183356, CCDS5652, ASNS, NM_001673, uc003uou.5, RGD:2162, MGI:1350929, 753, ASNSD, TS11, HGNC:753, P08243, OTTHUMG00000022892, ENSG00000070669]	NCBI GENE
AminoAcids	Aspa	10090	11484	Aspa	aspartoacylase	11 B4|11 45.28 cM	11	active	protein-coding	[ENSMUSG00000020774, 87914, Acy2, MGI:87914, OTTMUSG00000006136, Acy, nu, Acy-, Acy-2, nur7]	EpiMed GENSYM	9606	443	ASPA	aspartoacylase	17p13.2	17	active	protein-coding	[P45381, NM_000049, ACY2, MGI:87914, HGNC:756, S67156, CCDS11028, OTTHUMG00000090655, uc002fvq.4, RGD:621693, ENSG00000108381, 756, ASPA, ASP, MIM:608034]	NCBI GENE
LTPmito	Atad3A	10090	108888	Atad3a	ATPase family, AAA domain containing 3A	4 E2|4 87.2 cM	4	active	protein-coding	[mKIAA1273, ENSMUSG00000029036, 2400004H09Rik, Tob, 1919214, Atad3, MGI:1919214, OTTMUSG00000010851, Tob3]	NCBI GENE	9606	55210	ATAD3A	ATPase family AAA domain containing 3A	1p36.33	1	active	protein-coding	[RGD:1305964, NM_018188, MIM:612316, FLJ10709, ENSG00000197785, MGI:1919214, CCDS31, 25567, ATAD3A, CCDS53259, PHRINL, AK025865, HAYOS, uc001aga.3, OTTHUMG00000000575, CCDS53260, Q9NVI7, HGNC:25567]	NCBI GENE
LTP	Atcay	10090	16467	Atcay	ataxia, cerebellar, Cayman type	10 C1|10 39.72 cM	10	active	protein-coding	[BNIP-H, 2448730, ENSMUSG00000034958, j, 3322401A10Rik, CLAC, BB077577, hes, MGI:2448730, BNI, OTTMUSG00000030319, ji]	EpiMed GENSYM	9606	85300	ATCAY	ATCAY kinesin light chain interacting caytaxin	19p13.3	19	active	protein-coding	[BNIP-H, OTTHUMG00000181836, HGNC:779, uc002lyy.5, NM_033064, ENSG00000167654, ATCAY, Q86WG3, CLAC, RGD:1309312, MGI:2448730, 779, MIM:608179, CCDS45923]	NCBI GENE
ERstress	Atf3	10090	11910	Atf3	activating transcription factor 3	1 H6|1 96.28 cM	1	active	protein-coding	[ENSMUSG00000026628, 109384, MGI:109384, OTTMUSG00000021405, LRG-21, LRG-]	EpiMed GENSYM	9606	467	ATF3	activating transcription factor 3	1q32.3	1	active	protein-coding	[CCDS55688, L19871, CCDS58059, RGD:2165, MIM:603148, NM_001674, MGI:109384, CCDS41464, OTTHUMG00000036747, uc001hjf.4, P18847, 785, HGNC:785, CCDS1506, ENSG00000162772, ATF3]	NCBI GENE
ERstress	Atf4	10090	11911	Atf4	activating transcription factor 4	15 E1|15 37.85 cM	15	active	protein-coding	[C/AT, C/ATF, 88096, TAXREB67, Atf-, CREB-2, ENSMUSG00000042406, Atf-4, CREB2, TAXREB, CREB, MGI:88096]	EpiMed GENSYM	9606	468	ATF4	activating transcription factor 4	22q13.1	22	active	protein-coding	[D90209, TAXREB67, TXREB, ENSG00000128272, CREB-2, CCDS13996, NM_001675, CREB2, uc021wpz.2, P18848, 786, OTTHUMG00000151099, MGI:88096, HGNC:786, MIM:604064, RGD:621863, ATF4]	NCBI GENE
mtUPR	Atf5	10090	107503	Atf5	activating transcription factor 5	7 B3|7 28.92 cM	7	active	protein-coding	[ENSMUSG00000038539, Atf, AF, ODA-, 2141857, OTTMUSG00000021114, Atfx, ODA-10, MGI:2141857, Atf7, AFTA]	EpiMed GENSYM	9606	22809	ATF5	activating transcription factor 5	19q13.33	19	active	protein-coding	[CCDS12789, HMFN0395, Q9Y2D1, MGI:2141857, 790, RGD:628902, OTTHUMG00000183065, ENSG00000169136, uc002prd.4, ATFX, HGNC:790, ATF5, NM_001193646, MIM:606398, AF101388]	NCBI GENE
ERstress	Atf6	10090	226641	Atf6	activating transcription factor 6	1 H3|1 76.96 cM	1	active	protein-coding	[AA789574, 9630036G24, MGI:1926157, OTTMUSG00000043564, 9130025P16Rik, Atf6alpha, 1926157, ENSMUSG00000026663, ESTM49, ESTM4]	EpiMed GENSYM	9606	22926	ATF6	activating transcription factor 6	1q23.3	1	active	protein-coding	[ATP6alpha, ACHM7, MGI:1926157, ATF6A, MIM:605537, NM_007348, P18850, 791, CCDS1235, ENSG00000118217, uc001gbs.4, OTTHUMG00000023961, RGD:1305471, HGNC:791, ATF6, AB015856]	NCBI GENE
OXPHOS	Atp12A	10090	192113	Atp12a	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	14 C3|14 28.19 cM	14	active	protein-coding	[ENSMUSG00000022229, HKalpha2, 1926943, cHKA, cHK, Atp1al1, Atp, MGI:1926943, HKal]	NCBI GENE	9606	479	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit	13q12.12|13q12.1-q12.3	13	active	protein-coding	[HK, MIM:182360, OTTHUMG00000016588, #945, P54707, ENSG00000075673, CCDS53858, L42558, ATP12A, NM_001676, H-K-ATPase, 13816, 2, uc001upp.4, HGNC:13816, CCDS31948, ATP1AL1, RGD:620569, MGI:1926943]	NCBI GENE
OXPHOS	Atp4B	10090	11931	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	1 H2.2|1 71.75 cM	1	active	protein-coding	[Atp4b, OTTMUSG00000049860, NKbeta1, At, MGI:88108, 88108, ENSMUSG00000026576, Atpb, Atpb-1]	NCBI GENE	9606	496	ATP4B	ATPase H+/K+ transporting subunit beta	13q34	13	active	protein-coding	[HGNC:820, P51164, RGD:2178, MIM:137217, NM_000705, ATP4B, MGI:88114, ATP6B, OTTHUMG00000140234, 820, CCDS9539, ENSG00000186009, uc001vtz.5]	NCBI GENE
OXPHOS	Atp4A	10090	11944	Atp4a	ATPase, H+/K+ exchanging, gastric, alpha polypeptide	7 B1|7 19.2 cM	7	active	protein-coding	[MGI:88113, OTTMUSG00000036851, 88113, ENSMUSG00000005553]	NCBI GENE	9606	495	ATP4A	ATPase H+/K+ transporting subunit alpha	19q13.12	19	active	protein-coding	[819, ENSG00000105675, RGD:2177, NM_000704, HGNC:819, CCDS12467, MIM:137216, MGI:88113, ATP4A, ATP6A, P20648, OTTHUMG00000048106, uc002oal.2]	NCBI GENE
OXPHOS	Atp4B	10090	11945	Atp4b	ATPase, H+/K+ exchanging, beta polypeptide	8 A1.1|8 5.89 cM	8	active	protein-coding	[OTTMUSG00000060904, MGI:88114, ENSMUSG00000031449, 88114, AV080843]	NCBI GENE	9606	496	ATP4B	ATPase H+/K+ transporting subunit beta	13q34	13	active	protein-coding	[HGNC:820, P51164, RGD:2178, MIM:137217, NM_000705, ATP4B, MGI:88114, ATP6B, OTTHUMG00000140234, 820, CCDS9539, ENSG00000186009, uc001vtz.5]	NCBI GENE
Vatpase	Atp5E	10090	67126	Atp5f1e	ATP synthase F1 subunit epsilon	2 H4|2 97.95 cM	2	active	protein-coding	[ENSMUSG00000016252, OTTMUSG00000016513, ATPE, MGI:1855697, Atp5e, 1855697, Atp5f1e, AV000645, 2410043G19Rik]	NCBI GENE	9606	514	ATP5F1E	ATP synthase F1 subunit epsilon	20q13.32	20	active	protein-coding	[ENSG00000124172, HGNC:838, MC5DN3, CCDS13476, ATP5F1E, AF077045, RGD:621374, uc002yal.4, NM_001001977, ATPE, OTTHUMG00000032854, ATP5E, MGI:1855697, P56381, MIM:606153, 838]	NCBI GENE
OXPHOS	Atp6Ap1	10090	54411	Atp6ap1	ATPase, H+ transporting, lysosomal accessory protein 1	X A7.3|X 37.96 cM	X	active	protein-coding	[AI316502, MGI:109629, XAP, mFLJ00383, C7-1, AW108110, VA, CF2, OTTMUSG00000017676, AC4, Atp6s1, ENSMUSG00000019087, VATPS1, Atp6ip1, XAP-3, 16A, Atp, AC45, 109629]	NCBI GENE	9606	537	ATP6AP1	ATPase H+ transporting accessory protein 1	Xq28	X	active	protein-coding	[ENSG00000071553, HGNC:868, OTTHUMG00000033291, ORF, MGI:109629, XAP3, ATP6AP1, MIM:300197, uc004flf.3, Q15904, CF2, NM_001183, CCDS35451, ATP6S1, VATPS1, 868, XAP-3, RGD:620423, D16469, Ac45, 16A, ATP6IP1]	NCBI GENE
Vatpase	Atp6Ap1	10090	54411	Atp6ap1	ATPase, H+ transporting, lysosomal accessory protein 1	X A7.3|X 37.96 cM	X	active	protein-coding	[AI316502, MGI:109629, XAP, mFLJ00383, C7-1, AW108110, VA, CF2, OTTMUSG00000017676, AC4, Atp6s1, ENSMUSG00000019087, VATPS1, Atp6ip1, XAP-3, 16A, Atp, AC45, 109629]	NCBI GENE	9606	537	ATP6AP1	ATPase H+ transporting accessory protein 1	Xq28	X	active	protein-coding	[ENSG00000071553, HGNC:868, OTTHUMG00000033291, ORF, MGI:109629, XAP3, ATP6AP1, MIM:300197, uc004flf.3, Q15904, CF2, NM_001183, CCDS35451, ATP6S1, VATPS1, 868, XAP-3, RGD:620423, D16469, Ac45, 16A, ATP6IP1]	NCBI GENE
OXPHOS	Atp6V0A1	10090	11975	Atp6v0a1	ATPase, H+ transporting, lysosomal V0 subunit A1	11 D|11 64.04 cM	11	active	protein-coding	[Atpv0a1, OTTMUSG00000002124, 103286, ATP6a1, Vpp-1, MGI:103286, Atp6n1a, ENSMUSG00000019302, Vpp1, AA959968, V, Vp, Atp, Atp6n1]	NCBI GENE	9606	535	ATP6V0A1	ATPase H+ transporting V0 subunit a1	17q21.2	17	active	protein-coding	[CCDS11426, DEE104, HGNC:865, OTTHUMG00000180238, ATP6N1A, Vph1, MGI:103286, U73006, a1, NEDEBA, ATP6N1, VPP1, uc002hzs.4, Q93050, CCDS45684, CCDS45683, 865, Stv1, ENSG00000033627, MIM:192130, NM_001130020, ATP6V0A1, RGD:68405]	NCBI GENE
Vatpase	Atp6V0A1	10090	11975	Atp6v0a1	ATPase, H+ transporting, lysosomal V0 subunit A1	11 D|11 64.04 cM	11	active	protein-coding	[Atpv0a1, OTTMUSG00000002124, 103286, ATP6a1, Vpp-1, MGI:103286, Atp6n1a, ENSMUSG00000019302, Vpp1, AA959968, V, Vp, Atp, Atp6n1]	NCBI GENE	9606	535	ATP6V0A1	ATPase H+ transporting V0 subunit a1	17q21.2	17	active	protein-coding	[CCDS11426, DEE104, HGNC:865, OTTHUMG00000180238, ATP6N1A, Vph1, MGI:103286, U73006, a1, NEDEBA, ATP6N1, VPP1, uc002hzs.4, Q93050, CCDS45684, CCDS45683, 865, Stv1, ENSG00000033627, MIM:192130, NM_001130020, ATP6V0A1, RGD:68405]	NCBI GENE
OXPHOS	Atp6V0A2	10090	21871	Atp6v0a2	ATPase, H+ transporting, lysosomal V0 subunit A2	5 F|5 63.7 cM	5	active	protein-coding	[Tj6, Atp6n1d, J6B7, ATP6a2, MGI:104855, OTTMUSG00000054960, AW489264, 8430408C20Rik, TJ6M, V-ATPase 116 kDa, C76904, AI385560, SHIF, TJ6s, ENSMUSG00000038023, 104855, Stv1, Atp6n2, ISF, ATP, V-ATPase a2]	NCBI GENE	9606	23545	ATP6V0A2	ATPase H+ transporting V0 subunit a2	12q24.31	12	active	protein-coding	[TJ6, CCDS9254, MIM:611716, J6B7, ARCL, a2V, ATP6A2, ATP6N1D, RTF, Q9Y487, VPH1, Vph1, A2, TJ6s, ATP6V0A2, STV1, Stv1, HGNC:18481, ATP6a2, MGI:104855, ARCL2A, TJ6M, OTTHUMG00000168723, 18481, uc001ufr.4, AF112972, a2, TJ6S, WSS, NM_012463, ENSG00000185344, RGD:621006]	NCBI GENE
Vatpase	Atp6V0A2	10090	21871	Atp6v0a2	ATPase, H+ transporting, lysosomal V0 subunit A2	5 F|5 63.7 cM	5	active	protein-coding	[Tj6, Atp6n1d, J6B7, ATP6a2, MGI:104855, OTTMUSG00000054960, AW489264, 8430408C20Rik, TJ6M, V-ATPase 116 kDa, C76904, AI385560, SHIF, TJ6s, ENSMUSG00000038023, 104855, Stv1, Atp6n2, ISF, ATP, V-ATPase a2]	NCBI GENE	9606	23545	ATP6V0A2	ATPase H+ transporting V0 subunit a2	12q24.31	12	active	protein-coding	[TJ6, CCDS9254, MIM:611716, J6B7, ARCL, a2V, ATP6A2, ATP6N1D, RTF, Q9Y487, VPH1, Vph1, A2, TJ6s, ATP6V0A2, STV1, Stv1, HGNC:18481, ATP6a2, MGI:104855, ARCL2A, TJ6M, OTTHUMG00000168723, 18481, uc001ufr.4, AF112972, a2, TJ6S, WSS, NM_012463, ENSG00000185344, RGD:621006]	NCBI GENE
OXPHOS	Atp6V0A4	10090	140494	Atp6v0a4	ATPase, H+ transporting, lysosomal V0 subunit A4	6 B1|6 17.5 cM	6	active	protein-coding	[MGI:2153480, a4, OTTMUSG00000022440, Atp6, 2153480, ENSMUSG00000038600, Atp6n1b]	NCBI GENE	9606	50617	ATP6V0A4	ATPase H+ transporting V0 subunit a4	7q34	7	active	protein-coding	[AF245517, MIM:605239, ATP6N1B, VPH1, Vph1, ATP6N2, A4, RDRTA2, RGD:1305055, ATP6V0A4, RTA1C, STV1, Stv1, OTTHUMG00000157122, NM_020632, MGI:2153480, HGNC:866, RTADR, ENSG00000105929, uc003vug.4, Q9HBG4, a4, CCDS5849, VPP2, 866, DRTA3]	NCBI GENE
Vatpase	Atp6V0A4	10090	140494	Atp6v0a4	ATPase, H+ transporting, lysosomal V0 subunit A4	6 B1|6 17.5 cM	6	active	protein-coding	[MGI:2153480, a4, OTTMUSG00000022440, Atp6, 2153480, ENSMUSG00000038600, Atp6n1b]	NCBI GENE	9606	50617	ATP6V0A4	ATPase H+ transporting V0 subunit a4	7q34	7	active	protein-coding	[AF245517, MIM:605239, ATP6N1B, VPH1, Vph1, ATP6N2, A4, RDRTA2, RGD:1305055, ATP6V0A4, RTA1C, STV1, Stv1, OTTHUMG00000157122, NM_020632, MGI:2153480, HGNC:866, RTADR, ENSG00000105929, uc003vug.4, Q9HBG4, a4, CCDS5849, VPP2, 866, DRTA3]	NCBI GENE
OXPHOS	Atp6V0B	10090	114143	Atp6v0b	ATPase, H+ transporting, lysosomal V0 subunit B	4 D1|4 53.73 cM	4	active	protein-coding	[ENSMUSG00000033379, VMA16, MGI:1890510, Atp6f, OTTMUSG00000008663, VMA, 1890510, Atp, 2310024H13Rik]	NCBI GENE	9606	533	ATP6V0B	ATPase H+ transporting V0 subunit b	1p34.1	1	active	protein-coding	[MGI:1890510, HATPL, ATP6V0B, CCDS72772, RGD:1308303, MIM:603717, VMA16, ENSG00000117410, uc001cld.4, CCDS505, Q99437, 861, BC000423, NM_004047, ATP6F, HGNC:861, CCDS41315, OTTHUMG00000008298]	NCBI GENE
Vatpase	Atp6V0B	10090	114143	Atp6v0b	ATPase, H+ transporting, lysosomal V0 subunit B	4 D1|4 53.73 cM	4	active	protein-coding	[ENSMUSG00000033379, VMA16, MGI:1890510, Atp6f, OTTMUSG00000008663, VMA, 1890510, Atp, 2310024H13Rik]	NCBI GENE	9606	533	ATP6V0B	ATPase H+ transporting V0 subunit b	1p34.1	1	active	protein-coding	[MGI:1890510, HATPL, ATP6V0B, CCDS72772, RGD:1308303, MIM:603717, VMA16, ENSG00000117410, uc001cld.4, CCDS505, Q99437, 861, BC000423, NM_004047, ATP6F, HGNC:861, CCDS41315, OTTHUMG00000008298]	NCBI GENE
OXPHOS	Atp6V0C	10090	11984	Atp6v0c	ATPase, H+ transporting, lysosomal V0 subunit C	17 A3.3|17 12.29 cM	17	active	protein-coding	[Atp6c, Vma3, A, PL16, Atp6, Atp6c2, ENSMUSG00000024121, OTTMUSG00000023843, VATL, pro, Atpl, MGI:88116, At, Atpl-rs1, Atp6l, 88116, Atp, PL]	NCBI GENE	9606	527	ATP6V0C	ATPase H+ transporting V0 subunit c	16p13.3	16	active	protein-coding	[Vma3, VPPC, HGNC:855, uc002cqn.4, OTTHUMG00000128865, ATP6L, NM_001694, VATL, EPEO3, ATP6C, ATPL, MIM:108745, MGI:88116, RGD:621394, CCDS10470, 855, ENSG00000185883, P27449, ATP6V0C, M62762]	NCBI GENE
Vatpase	Atp6V0C	10090	11984	Atp6v0c	ATPase, H+ transporting, lysosomal V0 subunit C	17 A3.3|17 12.29 cM	17	active	protein-coding	[Atp6c, Vma3, A, PL16, Atp6, Atp6c2, ENSMUSG00000024121, OTTMUSG00000023843, VATL, pro, Atpl, MGI:88116, At, Atpl-rs1, Atp6l, 88116, Atp, PL]	NCBI GENE	9606	527	ATP6V0C	ATPase H+ transporting V0 subunit c	16p13.3	16	active	protein-coding	[Vma3, VPPC, HGNC:855, uc002cqn.4, OTTHUMG00000128865, ATP6L, NM_001694, VATL, EPEO3, ATP6C, ATPL, MIM:108745, MGI:88116, RGD:621394, CCDS10470, 855, ENSG00000185883, P27449, ATP6V0C, M62762]	NCBI GENE
OXPHOS	Atp6V0D1	10090	11972	Atp6v0d1	ATPase, H+ transporting, lysosomal V0 subunit D1	8 D3|8 53.04 cM	8	active	protein-coding	[Atp6d, P3, OTTMUSG00000032456, Vma6, MGI:1201778, VATX, 1201778, ENSMUSG00000013160, Ac3, AI267038, Ac39, P39, Vm, Atp]	NCBI GENE	9606	9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1	16q22.1	16	active	protein-coding	[MIM:607028, ATP6DV, VMA6, Vma6, MGI:1201778, CCDS10838, RGD:1306159, VATX, VPATPD, ENSG00000159720, ATP6D, X71490, HGNC:13724, NM_004691, uc002ete.2, OTTHUMG00000137515, P39, P61421, ATP6V0D1, 13724]	NCBI GENE
Vatpase	Atp6V0D1	10090	11972	Atp6v0d1	ATPase, H+ transporting, lysosomal V0 subunit D1	8 D3|8 53.04 cM	8	active	protein-coding	[Atp6d, P3, OTTMUSG00000032456, Vma6, MGI:1201778, VATX, 1201778, ENSMUSG00000013160, Ac3, AI267038, Ac39, P39, Vm, Atp]	NCBI GENE	9606	9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1	16q22.1	16	active	protein-coding	[MIM:607028, ATP6DV, VMA6, Vma6, MGI:1201778, CCDS10838, RGD:1306159, VATX, VPATPD, ENSG00000159720, ATP6D, X71490, HGNC:13724, NM_004691, uc002ete.2, OTTHUMG00000137515, P39, P61421, ATP6V0D1, 13724]	NCBI GENE
OXPHOS	Atp6V0D2	10090	242341	Atp6v0d2	ATPase, H+ transporting, lysosomal V0 subunit D2	4 A3|4 7.67 cM	4	active	protein-coding	[1924415, V-ATPase, 1620401A02Rik, ENSMUSG00000028238, OTTMUSG00000006382, MGI:1924415, AI324824]	NCBI GENE	9606	245972	ATP6V0D2	ATPase H+ transporting V0 subunit d2	8q21.3	8	active	protein-coding	[HGNC:18266, RGD:1306900, NM_152565, VMA6, MIM:618072, 18266, ATP6D2, CCDS6241, FLJ38708, uc003ydp.2, ENSG00000147614, AY079172, OTTHUMG00000163637, Q8N8Y2, ATP6V0D2, MGI:1924415]	NCBI GENE
Vatpase	Atp6V0D2	10090	242341	Atp6v0d2	ATPase, H+ transporting, lysosomal V0 subunit D2	4 A3|4 7.67 cM	4	active	protein-coding	[1924415, V-ATPase, 1620401A02Rik, ENSMUSG00000028238, OTTMUSG00000006382, MGI:1924415, AI324824]	NCBI GENE	9606	245972	ATP6V0D2	ATPase H+ transporting V0 subunit d2	8q21.3	8	active	protein-coding	[HGNC:18266, RGD:1306900, NM_152565, VMA6, MIM:618072, 18266, ATP6D2, CCDS6241, FLJ38708, uc003ydp.2, ENSG00000147614, AY079172, OTTHUMG00000163637, Q8N8Y2, ATP6V0D2, MGI:1924415]	NCBI GENE
Vatpase	Atp6V0E	10090	11974	Atp6v0e	ATPase, H+ transporting, lysosomal V0 subunit E	17 A3.3|17 13.46 cM	17	active	protein-coding	[1328318, Atp6v0e1, M9.2, MGI:1328318, Atp6k, Atp, ENSMUSG00000015575]	NCBI GENE										
OXPHOS	Atp6V0E2	10090	76252	Atp6v0e2	ATPase, H+ transporting, lysosomal V0 subunit E2	6 B2.3|6 23.52 cM	6	active	protein-coding	[1923502, NM9.2, ENSMUSG00000039347, OTTMUSG00000057232, MGI:1923502, 0610006O14Rik]	NCBI GENE	9606	155066	ATP6V0E2	ATPase H+ transporting V0 subunit e2	7q36.1	7	active	protein-coding	[ATP6V0E2L, RGD:1303238, AK057700, Q8NHE4, C7orf32, HGNC:21723, MIM:611019, ENSG00000171130, NM_145230, 21723, uc003wgp.3, OTTHUMG00000158094, CCDS47742, ATP6V0E2, MGI:1923502, CCDS55181]	NCBI GENE
OXPHOS	Atp6V1A	10090	11964	Atp6v1a	ATPase, H+ transporting, lysosomal V1 subunit A	16 B4|16 28.44 cM	16	active	protein-coding	[OTTMUSG00000023485, VA68, Atp6a1, Atp6v1a1, Atp6a2, VA, MGI:1201780, AI647066, 1201780, VPP2, V, Atp, ENSMUSG00000052459]	NCBI GENE	9606	523	ATP6V1A	ATPase H+ transporting V1 subunit A	3q13.31	3	active	protein-coding	[ATP6V1A, DEE93, ARCL2D, MIM:607027, VA68, ATP6A1, HO68, P38606, MGI:1201780, ENSG00000114573, Vma1, L09235, IECEE3, NM_001690, VPP2, 851, RGD:1596464, CCDS2976, ATP6V1A1, HGNC:851, OTTHUMG00000159295, uc003eao.4]	NCBI GENE
Vatpase	Atp6V1A	10090	11964	Atp6v1a	ATPase, H+ transporting, lysosomal V1 subunit A	16 B4|16 28.44 cM	16	active	protein-coding	[OTTMUSG00000023485, VA68, Atp6a1, Atp6v1a1, Atp6a2, VA, MGI:1201780, AI647066, 1201780, VPP2, V, Atp, ENSMUSG00000052459]	NCBI GENE	9606	523	ATP6V1A	ATPase H+ transporting V1 subunit A	3q13.31	3	active	protein-coding	[ATP6V1A, DEE93, ARCL2D, MIM:607027, VA68, ATP6A1, HO68, P38606, MGI:1201780, ENSG00000114573, Vma1, L09235, IECEE3, NM_001690, VPP2, 851, RGD:1596464, CCDS2976, ATP6V1A1, HGNC:851, OTTHUMG00000159295, uc003eao.4]	NCBI GENE
OXPHOS	Atp6V1B1	10090	110935	Atp6v1b1	ATPase, H+ transporting, lysosomal V1 subunit B1	6 C3|6 35.94 cM	6	active	protein-coding	[AW208839, 103285, Atp6, D630039P21Rik, OTTMUSG00000058015, Atp6b1, Vpp-3, MGI:103285, ENSMUSG00000006269, D630003L15, D630030L16Rik, Vpp3, V, Vp]	NCBI GENE	9606	525	ATP6V1B1	ATPase H+ transporting V1 subunit B1	2p13.3	2	active	protein-coding	[RGD:1310619, VMA2, Vma2, HGNC:853, OTTHUMG00000129711, ATP6B1, ENSG00000116039, MGI:103285, P15313, VATB, DRTA2, uc002shj.4, VPP3, NM_001692, 853, MIM:192132, RTA1B, CCDS1912, AF107466, ATP6V1B1]	NCBI GENE
Vatpase	Atp6V1B1	10090	110935	Atp6v1b1	ATPase, H+ transporting, lysosomal V1 subunit B1	6 C3|6 35.94 cM	6	active	protein-coding	[AW208839, 103285, Atp6, D630039P21Rik, OTTMUSG00000058015, Atp6b1, Vpp-3, MGI:103285, ENSMUSG00000006269, D630003L15, D630030L16Rik, Vpp3, V, Vp]	NCBI GENE	9606	525	ATP6V1B1	ATPase H+ transporting V1 subunit B1	2p13.3	2	active	protein-coding	[RGD:1310619, VMA2, Vma2, HGNC:853, OTTHUMG00000129711, ATP6B1, ENSG00000116039, MGI:103285, P15313, VATB, DRTA2, uc002shj.4, VPP3, NM_001692, 853, MIM:192132, RTA1B, CCDS1912, AF107466, ATP6V1B1]	NCBI GENE
OXPHOS	Atp6V1B2	10090	11966	Atp6v1b2	ATPase, H+ transporting, lysosomal V1 subunit B2	8 B3.3|8 33.88 cM	8	active	protein-coding	[MGI:109618, ENSMUSG00000006273, R74844, OTTMUSG00000025651, Atp6, Atp6b2, HO57, AI194269, AI790362, 109618, HO5]	NCBI GENE	9606	526	ATP6V1B2	ATPase H+ transporting V1 subunit B2	8p21.3	8	active	protein-coding	[DOOD, Vma2, MGI:109618, HGNC:854, ATP6B2, P21281, HO57, CCDS6014, ATP6B1B2, MIM:606939, VATB, ENSG00000147416, RGD:620284, VPP3, uc003wzp.4, NM_001693, 854, ATP6V1B2, ZLS2, L35249, OTTHUMG00000131073]	NCBI GENE
Vatpase	Atp6V1B2	10090	11966	Atp6v1b2	ATPase, H+ transporting, lysosomal V1 subunit B2	8 B3.3|8 33.88 cM	8	active	protein-coding	[MGI:109618, ENSMUSG00000006273, R74844, OTTMUSG00000025651, Atp6, Atp6b2, HO57, AI194269, AI790362, 109618, HO5]	NCBI GENE	9606	526	ATP6V1B2	ATPase H+ transporting V1 subunit B2	8p21.3	8	active	protein-coding	[DOOD, Vma2, MGI:109618, HGNC:854, ATP6B2, P21281, HO57, CCDS6014, ATP6B1B2, MIM:606939, VATB, ENSG00000147416, RGD:620284, VPP3, uc003wzp.4, NM_001693, 854, ATP6V1B2, ZLS2, L35249, OTTHUMG00000131073]	NCBI GENE
OXPHOS	Atp6V1C1	10090	66335	Atp6v1c1	ATPase, H+ transporting, lysosomal V1 subunit C1	15 B3.1|15 15.18 cM	15	active	protein-coding	[U13839, 1700025B18Rik, 1913585, ENSMUSG00000022295, MGI:1913585]	NCBI GENE	9606	528	ATP6V1C1	ATPase H+ transporting V1 subunit C1	8q22.3	8	active	protein-coding	[uc003yla.4, Vma5, P21283, HGNC:856, ENSG00000155097, OTTHUMG00000164761, NM_001695, X69151, CCDS6296, MGI:1913585, RGD:1311082, ATP6D, ATP6C, VATC, 856, ATP6V1C1, MIM:603097]	NCBI GENE
Vatpase	Atp6V1C1	10090	66335	Atp6v1c1	ATPase, H+ transporting, lysosomal V1 subunit C1	15 B3.1|15 15.18 cM	15	active	protein-coding	[U13839, 1700025B18Rik, 1913585, ENSMUSG00000022295, MGI:1913585]	NCBI GENE	9606	528	ATP6V1C1	ATPase H+ transporting V1 subunit C1	8q22.3	8	active	protein-coding	[uc003yla.4, Vma5, P21283, HGNC:856, ENSG00000155097, OTTHUMG00000164761, NM_001695, X69151, CCDS6296, MGI:1913585, RGD:1311082, ATP6D, ATP6C, VATC, 856, ATP6V1C1, MIM:603097]	NCBI GENE
